article_count_financial,article_count_geopolitical,article_count_technology,sentiment_score_financial,sentiment_score_geopolitical,sentiment_score_technology,article_zscore_financial,article_zscore_geopolitical,article_zscore_technology,sentiment_velocity_financial,sentiment_velocity_geopolitical,sentiment_velocity_technology,sentiment_3d_financial,sentiment_3d_geopolitical,sentiment_3d_technology,market_regime_flag,weighted_sentiment_financial,weighted_sentiment_geopolitical,weighted_sentiment_technology,z_lag1_sentiment_score_financial,z_lag1_sentiment_score_geopolitical,z_lag1_sentiment_score_technology,lagged_vol_geopolitical,lagged_vol_tech,lagged_vol_balanced,lagged_vol_conservative,sentiment_interaction_geo_fin
2.1368297212478857e-05,-4.579002885169157e-05,-1.8474615571143168e-05,-6.734763936950323e-06,-1.4865014349773632e-05,-1.606711496325723e-05,-7.715053911968305e-05,3.893436120784908e-05,4.706282535893017e-05,4.43902947041224e-06,7.85393019471183e-06,-1.9091336811201725e-05,0.00015072854091426264,9.156564834877231e-06,-0.00010244530472284526,0.00021459132584555486,-2.6072675499920246e-06,7.2641561372980915e-06,-0.0001102320299021233,-6.800507735825088e-05,-9.399984469799995e-06,6.765607804580009e-06,-4.3431707768401393e-05,-7.317197544056104e-05,-0.0018741151509906202,-3.5479918915316e-05,6.742926103908519e-05
2.1368297212478857e-05,-5.6555709616195865e-05,2.6366684358815986e-05,-5.340631826331058e-05,1.4652948738838504e-06,-5.266059338304635e-05,-7.398138530014126e-05,7.340515851595493e-05,-5.229736456617837e-05,-3.7732753076241958e-06,-1.1596717851145685e-05,-6.0681692576604496e-05,0.00014222364325526833,5.915831871699186e-06,-0.00016215818883580355,0.00021459132584555486,-5.985654665878648e-07,-5.1080354537113506e-05,0.0002610004099342583,3.166130464726804e-06,-3.4170646962716486e-05,2.4430963610545193e-05,-5.3803490638054496e-05,-1.4491850558058908e-05,-0.0007011516694396556,0.00020669677161851008,5.137402842938481e-05
2.1368297212478857e-05,-4.220146859685682e-05,2.3377264363485374e-05,-9.082759782608331e-06,1.0571694066081622e-05,-2.066642110240643e-05,-7.118001148509116e-05,2.1009912294665137e-05,-4.381275804141874e-05,2.268134206171778e-06,-6.371357555989136e-06,4.5018558338159196e-05,5.317265505080862e-05,1.0482820864582076e-06,-0.00019397906490306255,0.00021459132584555486,-2.3153546293642178e-06,-3.093048742049223e-05,0.00011708205008062957,-3.996048445660945e-05,4.136733699503754e-06,9.172617549218305e-05,-2.229354367017094e-05,-3.8166007994627086e-07,-0.000216426220824593,0.00024241650982674207,-2.2220625794507774e-05
-0.0002749803502598556,1.5215495480499397e-05,-5.733707551044111e-05,7.154871309934429e-05,1.3896482646419894e-05,8.798417316196583e-06,0.00024520159278418286,-0.0001736167438299487,0.00012673067396223943,4.678713991427883e-06,-2.1892735596908395e-06,4.1120608472049614e-05,-4.0183527466237014e-05,-8.362047960480184e-06,-0.00013827848149048795,0.00021459132584555486,1.8836122382582086e-05,0.00018927148022648884,-5.862822259505096e-05,9.964767187962247e-07,2.549838065547763e-05,3.288906310007568e-05,-2.4202600252281514e-05,3.9000026051959803e-05,0.00037176421970789414,0.000423388213106894,-0.00017026235934984103
-8.26136843567613e-05,-9.904426303343943e-06,-3.5275155944901184e-06,3.460208253361205e-05,-8.513347592104113e-06,-1.3233350591391373e-05,4.722487965742339e-05,-8.08499628751685e-05,8.152541507856304e-06,-3.1276115448573814e-06,1.642566693672326e-05,-3.8240678207844566e-05,-0.00014513707116258528,-5.097185945899736e-06,-4.995861762579811e-05,-0.0001755747211463631,2.6467610148368483e-06,2.0399219378976108e-05,-1.7053001992233507e-05,7.55035834931706e-05,3.3297617033923586e-05,-2.129661779343092e-05,2.138637545891594e-05,0.00010495304056627524,0.0016304680713238372,0.000306948796857237,3.0431325096705988e-05
1.6169198134016847e-05,-1.7081546813013466e-05,1.1419584382162934e-05,7.186981250155382e-05,-8.310881173253747e-06,-1.161730825884137e-05,-5.848976474915222e-05,-5.226590078236377e-05,-2.8954203187140593e-05,1.7996788332432705e-06,6.923439241186755e-08,-1.797099073100046e-06,-0.00024167625669059545,1.0809092054691001e-06,-2.9687953033217436e-05,-0.0001755747211463631,-4.512353467482168e-06,1.4217150608655621e-05,5.869175579424023e-05,4.136323543646879e-05,-1.927100770952167e-05,1.9219686026061103e-05,5.857371441443517e-05,0.00012540876582688057,0.0025575601933876227,0.00023117936778034392,1.6338806134662667e-05
1.6169198134016847e-05,-3.1435787832352524e-05,-3.0432295552465615e-05,7.186981250155382e-05,-2.8426509239601058e-05,-1.9378346387921953e-05,-5.6699589616934555e-05,4.121230214820404e-06,6.435353422803521e-05,-6.746256809265047e-07,1.4766173270918066e-05,-1.6248093494404548e-05,-0.00024205918059144483,1.4928356793960855e-05,-9.280593335067456e-05,-0.0001755747211463631,-4.374463170071585e-06,1.6530682587864577e-05,-0.00016702101730296453,7.580029377999169e-05,-1.879606519177794e-05,1.6247792785110345e-05,3.433070906596492e-05,6.719078775285703e-05,0.0007972226207990849,3.2839526323417305e-05,0.00018585561168201067
-7.74145852782993e-05,-2.0670107067848237e-05,1.1419584382162934e-05,0.00015000910824444853,-7.939223342051347e-06,-2.7580899283593908e-05,4.481147170373515e-05,-2.2342502465576413e-05,-2.762751095962396e-05,-8.579383263646677e-07,4.169528303517253e-06,5.8667561233682696e-05,-0.0005709941339711428,6.079980459510014e-08,-0.0002566868345496358,-0.0001755747211463631,5.402526339310737e-06,7.282536901322476e-06,8.706790422888602e-05,0.0001505558391025503,-5.10201160830149e-06,0.00012072924693376002,-3.953946717287657e-05,-5.882671883524572e-05,-0.0017367787911387645,-0.0002634200993644454,-1.5483221005180733e-05
2.6567396290940864e-05,-4.937858910652634e-05,2.4513243961711025e-06,-3.972790164597686e-05,2.9356537817224747e-06,-1.0454161272689419e-05,-9.947492472156693e-05,8.718858311797266e-05,-5.247337281004942e-06,-1.3271774487167108e-05,-7.650572596912173e-06,2.2106393878209838e-05,-0.000343078824950651,2.569265544449202e-06,-0.00023222309845255307,-0.0001755747211463631,-1.5434081432563839e-06,-6.612290451713676e-05,1.0731174620863628e-05,0.00014800451680979776,-1.79242361393715e-05,4.560475164206301e-05,-7.414776289261547e-05,-7.596603301452616e-05,-0.0020507670974365755,-0.00026356517692612436,3.610995774506655e-05
7.335928799709893e-05,-2.4258667322682993e-05,8.430164386832323e-06,-4.0901551304812146e-05,1.882838102337208e-05,-2.6859784363115438e-05,-0.00015289347792509815,-5.362822677640463e-06,-1.809633822732101e-05,-7.52547428545906e-07,-1.1280196257617778e-05,-2.957024099671709e-05,-0.00011211756811147262,-4.400276144432787e-06,-0.0001390989028322559,-0.0001755747211463631,-2.2556236791267035e-06,-7.221726325609387e-06,5.5666389500797194e-05,-2.7321012411938805e-05,7.585878331196491e-06,1.4108771673625774e-05,-6.764214111497162e-05,-0.0001110353538560988,-0.0017337142608523858,-0.00028339125316864536,1.2035206705977251e-05
