article_count_geopolitical,article_count_technology,sentiment_score_geopolitical,sentiment_score_technology,article_zscore_geopolitical,article_zscore_technology,sentiment_velocity_geopolitical,sentiment_velocity_technology,sentiment_3d_geopolitical,sentiment_3d_technology,market_regime_flag,weighted_sentiment_geopolitical,weighted_sentiment_technology,z_lag1_sentiment_score_geopolitical,z_lag1_sentiment_score_technology,lagged_vol_geopolitical,lagged_vol_tech,lagged_vol_balanced,lagged_vol_conservative
-6.366686320314552e-05,7.865896242121094e-05,-8.831892220943398e-06,1.600917064239608e-05,5.535621035249313e-05,-8.211144131298606e-05,6.032647863525834e-06,3.024064120402704e-07,5.870215578457859e-05,2.6711696815332593e-05,-3.5649365814209806e-05,-8.182479634604662e-05,4.8823396640873415e-05,1.905853060178852e-05,-1.7731765555794618e-06,-0.0015551965216661983,1.8470812622275268e-05,1.0978933504619729e-05,-0.00025693823708259375
7.759855629886061e-05,-4.1584037458347175e-05,1.530228100474597e-05,-3.509688957760251e-05,-0.00023002903543091499,0.00011934084065702684,-1.892183017567324e-06,-3.417899553837207e-05,-1.8782245486478632e-05,-3.831533159205264e-06,-3.5649365814209806e-05,0.00011156646482539506,-0.00036745026517871624,1.2765579008324336e-05,-2.498944125172728e-06,-0.0017469206919082717,-1.8236679569377472e-05,1.1080392224981507e-05,-0.00039107025461377845
-7.828052728955995e-05,-6.513162493476061e-06,-1.740334211499126e-06,-6.362874679790749e-06,8.705613000809877e-05,5.524214820645904e-05,9.621552249284654e-06,1.3738861976031352e-05,-2.0790631201854648e-05,-2.7462203310434903e-05,-3.5649365814209806e-05,-0.00010393047209991498,-8.812077001030014e-05,4.886146057549559e-05,3.3455114620630733e-06,-0.003479666919778326,-4.7244321377185914e-05,5.7564177192964735e-05,-8.874375840899182e-05
-6.366686320314552e-05,3.5070874964871153e-06,4.1789843569853764e-05,-2.0486682921116254e-05,5.463096189324234e-05,3.6004042076497725e-05,-7.315638078990591e-06,-1.1983246370289104e-05,-5.604293600916653e-05,-8.127721333423782e-05,9.638532238656725e-05,-1.5812078730349023e-05,-9.33914664572123e-05,2.337195179109504e-05,5.950833072568077e-08,-0.0023192643843454918,-5.770503245121944e-05,6.161499482101332e-05,2.4401773653652188e-05
-7.828052728955995e-05,7.865896242121094e-05,-2.5528787534229893e-05,-7.429056202864449e-05,8.206797271743412e-05,-8.567530664383625e-05,2.367958734886277e-05,-3.579815359729872e-05,-2.760872190610341e-05,-0.00013907029583200427,9.638532238656725e-05,-0.00014578423054213287,0.00034914704586025603,8.847715042790237e-05,1.674697794239841e-06,-0.0028729084684680165,-8.139980029978914e-06,1.825120582646143e-05,0.0004839486077409232
-5.879564184100738e-05,7.364883742622935e-05,-6.306820699715097e-05,-2.7249104045735924e-05,3.8947694093567844e-05,-7.432621487598371e-05,1.5352809757273728e-05,2.4726495040131822e-05,1.5099194581755951e-05,-0.00016986811347262322,9.638532238656725e-05,-0.00011146361117569358,0.00016524345091070656,-1.220685945608181e-05,7.82767418317115e-06,-0.0011908580894137645,3.779265866114984e-06,3.3189466267717416e-07,0.0005517316819061317
1.91438999532029e-05,-6.162453743827354e-05,-7.677402315001456e-05,1.607344064408659e-05,-0.00012434624752771277,0.00012599136299250232,8.68852608313207e-06,2.2494503687123126e-05,9.766549744453022e-05,-0.00011595833403127031,9.638532238656725e-05,0.0003412249743443788,-4.519861369167532e-05,-6.835207836880708e-05,2.4480438466432115e-06,-0.0012927721349928105,3.7044234104083314e-05,-2.141227370606789e-05,0.0008951347036627145
-1.4954649581764097e-05,2.8557712471395057e-05,1.56062909194123e-05,-1.6320161391404567e-05,-5.02640752637216e-05,-4.769584531471445e-06,-2.097497282200144e-05,-2.2948283346451355e-05,6.901957487258818e-05,-3.047800169850595e-05,-3.5649365814209806e-05,9.193920059453642e-06,-2.632777998839378e-06,-8.885095819405769e-05,-2.506294000488e-06,0.001140818161944293,9.275369754353438e-05,-6.794585617418129e-05,0.00067417233287022
-2.4697092306040382e-05,5.3608337446303e-05,1.4771661153687628e-05,-1.3944072808195498e-05,-2.743726818720999e-05,-4.5688706762668525e-05,5.08952192959531e-06,-2.080453770535738e-06,1.4812924007147405e-05,-1.0859049968299029e-05,-3.5649365814209806e-05,-2.9610591015401352e-06,7.491675433759767e-05,4.9316148033500626e-05,1.198217119955096e-06,0.003125897866510421,0.00011003199433816387,-0.00010221794557797447,0.0005303900568945988
-4.418197775459296e-05,-1.653341248343924e-05,9.76945578777521e-05,-2.535523062313971e-05,1.759265641523877e-05,5.720554450596432e-05,-1.833051695881073e-05,-1.0355186822174675e-05,-0.00010668467977134931,-7.194775298051199e-05,-3.5649365814209806e-05,1.587730962165305e-06,-0.00015617408953825878,4.806784767142459e-05,9.264891852224309e-07,0.0018317602227049153,6.085669459411837e-05,-3.714140524789747e-05,0.00015403185387657093
-1.4954649581764097e-05,6.362858743626618e-05,-6.319505696154497e-05,-2.8291114724031833e-05,-3.965399645647856e-05,-6.524778469239574e-05,4.9843636954270635e-05,-5.268556359637421e-06,-5.18084671853806e-05,-8.959953833932563e-05,-3.5649365814209806e-05,8.582079354740152e-05,0.00014505448121799873,0.00017209012228460875,2.2314617219683286e-06,0.001555778799135573,5.1601230263940486e-05,-5.890491610955441e-05,7.628702876454943e-05
5.8113670850308034e-05,4.358808745633982e-05,-9.293282091434161e-06,-9.747910257940843e-05,-0.00017573795439121542,-3.3830898500081045e-05,-1.0215714255227743e-05,-4.503128031815573e-05,-3.50499601686789e-05,-0.00021277622899140914,-3.5649365814209806e-05,0.00018943496687645302,0.00012497242043192424,-6.85417994439294e-05,2.5672075056008786e-06,-0.0012943161847557287,-2.204832143290077e-05,4.2427499834216665e-05,-0.00044235798225954935
